anchor,fips,state,osrm_h,valhalla_h,road_km,ratio
Washington DC,51087,VA,2.386083333333333,2.1658333333333335,195.8558,1.1016929588303193
Washington DC,42029,PA,2.7908055555555555,2.408333333333333,198.645,1.1588119953863898
Washington DC,51069,VA,1.8460833333333333,1.5408333333333333,124.7698,1.1981070849107627
Washington DC,51113,VA,2.0220277777777778,1.7113888888888888,143.9313,1.1815127414380782
Washington DC,51057,VA,2.236138888888889,1.9808333333333332,146.77020000000002,1.1288879540036463
Washington DC,34001,NJ,3.4756388888888887,3.004166666666667,249.88639999999998,1.156939435968562
Washington DC,24025,MD,1.5659444444444444,1.4177777777777778,105.1541,1.1045062695924763
Washington DC,51840,VA,1.8688333333333333,1.5663888888888888,130.50119999999998,1.1930838801205887
Washington DC,51570,VA,2.6121666666666665,2.2983333333333333,208.29,1.1365482233502537
Washington DC,51053,VA,2.9589166666666666,2.5769444444444445,237.5231,1.148226797456074
Washington DC,42055,PA,2.117138888888889,1.8922222222222222,150.42620000000002,1.1188637698179682
Washington DC,24021,MD,1.186222222222222,1.0663888888888888,77.2897,1.1123730138056784
Washington DC,34011,NJ,2.908472222222222,2.591666666666667,216.9083,1.1222400857449089
Washington DC,42001,PA,1.9326388888888888,1.6772222222222222,131.0049,1.1522855250082809
Washington DC,51149,VA,2.6585,2.4094444444444445,218.9603,1.1033663822919069
Washington DC,51075,VA,2.4987777777777778,2.2622222222222224,201.1143,1.1045677799607072
Washington DC,51061,VA,1.1610833333333332,1.03,78.38669999999999,1.1272653721682846
Washington DC,51007,VA,2.953,2.602222222222222,230.1671,1.134799316823228
Washington DC,42057,PA,2.4405555555555556,2.18,163.143,1.1195208970438328
Washington DC,42071,PA,2.6890833333333335,2.3152777777777778,186.6922,1.1614517096580685
Washington DC,51179,VA,0.9172777777777777,0.8841666666666667,69.4682,1.0374489475337731
Washington DC,51670,VA,2.5616944444444445,2.3408333333333333,211.4537,1.0943514892607096
Washington DC,54023,WV,2.8695277777777775,2.5661111111111112,225.09470000000002,1.1182398787616366
Washington DC,51159,VA,2.2776388888888888,2.116388888888889,142.0695,1.0761911011943823
Washington DC,24047,MD,3.151277777777778,2.774722222222222,216.4215,1.1357092802082291
Washington DC,34007,NJ,3.0015,2.5794444444444444,223.71,1.1636226577643765
Washington DC,51103,VA,2.7909166666666665,2.6491666666666664,178.98479999999998,1.0535073922617175
Boston MA,09130,CT,2.6569166666666666,2.2808333333333333,207.4639,1.1648885641213007
