fips,state,county,seat,lat,lon,int_lat,int_lon,point_source
01001,AL,Autauga County,Prattville,32.459135,-86.451305,32.532237,-86.64644,seat
01003,AL,Baldwin County,Bay Minette,30.883446,-87.777183,30.659218,-87.746067,seat
01005,AL,Barbour County,Clayton,31.877504,-85.449024,31.870253,-85.405104,seat
01007,AL,Bibb County,Centreville,32.95,-87.134708,33.015893,-87.127148,seat
01009,AL,Blount County,Oneonta,33.942222222222,-86.478888888889,33.977358,-86.56644,seat
01011,AL,Bullock County,Union Springs,32.14,-85.712777777778,32.101759,-85.717261,seat
01013,AL,Butler County,Greenville,31.831273,-86.627567,31.751667,-86.681969,seat
01015,AL,Calhoun County,Anniston,33.663003,-85.826664,33.770516,-85.827909,seat
01017,AL,Chambers County,LaFayette,32.898572,-85.400784,32.915504,-85.394032,seat
01019,AL,Cherokee County,Centre,34.159181,-85.674742,34.069515,-85.654242,seat
01021,AL,Chilton County,Clanton,32.83981,-86.628188,32.854051,-86.726607,seat
01023,AL,Choctaw County,Butler,32.091526,-88.220684,31.990954,-88.248889,seat
01025,AL,Clarke County,Grove Hill,31.706137,-87.774274,31.685521,-87.818624,seat
01027,AL,Clay County,Ashland,33.272206,-85.836925,33.2704,-85.863525,seat
01029,AL,Cleburne County,Heflin,33.643754,-85.582701,33.671964,-85.516126,seat
01031,AL,Coffee County,Elba,31.417263,-86.077442,31.402258,-85.989602,seat
01033,AL,Colbert County,Tuscumbia,34.730839,-87.702854,34.703112,-87.801457,seat
01035,AL,Conecuh County,Evergreen,31.435025,-86.954905,31.430926,-86.988722,seat
01037,AL,Coosa County,Rockford,32.888181,-86.219575,32.931445,-86.243482,seat
01039,AL,Covington County,Andalusia,31.309,-86.479,31.243987,-86.448721,seat
01041,AL,Crenshaw County,Luverne,31.7144,-86.2633,31.730311,-86.320038,seat
01043,AL,Cullman County,Cullman,34.1775,-86.8447,34.131923,-86.869267,seat
01045,AL,Dale County,Ozark,31.448169,-85.642009,31.430654,-85.609476,seat
01047,AL,Dallas County,Selma,32.416388888889,-87.024722222222,32.333526,-87.11436,seat
01049,AL,DeKalb County,Fort Payne,34.453829,-85.706648,34.460915,-85.804021,seat
01051,AL,Elmore County,Wetumpka,32.540972,-86.207726,32.597229,-86.142735,seat
01053,AL,Escambia County,Brewton,31.117706,-87.071164,31.122287,-87.16841,seat
01055,AL,Etowah County,Gadsden,34.010147,-86.010356,34.047641,-86.034263,seat
01057,AL,Fayette County,Fayette,33.692068,-87.832358,33.716157,-87.764292,seat
01059,AL,Franklin County,Russellville,34.510344,-87.728248,34.441989,-87.842814,seat
01061,AL,Geneva County,Geneva,31.0411132,-85.8764248,31.092382,-85.821022,seat
01063,AL,Greene County,Eutaw,32.840555555556,-87.889166666667,32.844497,-87.9642,seat
01065,AL,Hale County,Greensboro,32.70234,-87.596216,32.752796,-87.623061,seat
01067,AL,Henry County,Abbeville,31.566388888889,-85.251388888889,31.516978,-85.239971,seat
01069,AL,Houston County,Dothan,31.227222222222,-85.407222222222,31.158183,-85.296411,seat
01071,AL,Jackson County,Scottsboro,34.67231,-86.03415,34.764114,-85.980056,seat
01073,AL,Jefferson County,Birmingham,33.5175,-86.809444444444,33.553444,-86.896536,seat
01075,AL,Lamar County,Vernon,33.756414,-88.111409,33.787085,-88.087431,seat
01077,AL,Lauderdale County,Florence,34.820277777778,-87.662777777778,34.904168,-87.651108,seat
01079,AL,Lawrence County,Moulton,34.482307,-87.285621,34.529776,-87.321865,seat
01081,AL,Lee County,Opelika,32.647183333333,-85.389402777778,32.604064,-85.353048,seat
01083,AL,Limestone County,Athens,34.791666666667,-86.966666666667,34.810239,-86.981399,seat
01085,AL,Lowndes County,Hayneville,32.182365,-86.580468,32.147888,-86.650586,seat
