fips,state,county,seat,lat,lon,int_lat,int_lon,point_source,capitol_drive_s,capitol_road_m,capitol_snap_m,center_drive_s,center_road_m,center_snap_m
01001,AL,Autauga County,Prattville,32.459135,-86.451305,32.532237,-86.64644,seat,54548.8,1319814.0,36.72825285,69379.7,1750893.8,36.72825285
01003,AL,Baldwin County,Bay Minette,30.883446,-87.777183,30.659218,-87.746067,seat,63608.0,1510388.0,10.65330689,74057.3,1778462.1,10.65330689
01005,AL,Barbour County,Clayton,31.877504,-85.449024,31.870253,-85.405104,seat,55635.5,1285836.3,25.28806798,76320.1,1888425.8,25.28806798
01007,AL,Bibb County,Centreville,32.95,-87.134708,33.015893,-87.127148,seat,53448.3,1280591.8,121.1154567,67110.0,1667390.3,121.1154567
01009,AL,Blount County,Oneonta,33.942222222222,-86.478888888889,33.977358,-86.56644,seat,48125.3,1155195.8,15.66123912,66690.3,1670284.3,15.66123912
01011,AL,Bullock County,Union Springs,32.14,-85.712777777778,32.101759,-85.717261,seat,54148.4,1263707.0,20.18378328,73788.8,1840999.5,20.18378328
01013,AL,Butler County,Greenville,31.831273,-86.627567,31.751667,-86.681969,seat,57265.2,1354376.9,7.875022956,72749.5,1834126.5,7.875022956
01015,AL,Calhoun County,Anniston,33.663003,-85.826664,33.770516,-85.827909,seat,48341.6,1152355.8,6.956019308,68495.5,1726081.0,6.956019308
01017,AL,Chambers County,LaFayette,32.898572,-85.400784,32.915504,-85.394032,seat,50454.0,1179776.3,24.50957267,73007.1,1800664.0,24.50957267
01019,AL,Cherokee County,Centre,34.159181,-85.674742,34.069515,-85.654242,seat,45772.2,1078727.8,102.6089295,68238.5,1622627.9,102.6089295
01021,AL,Chilton County,Clanton,32.83981,-86.628188,32.854051,-86.726607,seat,52711.5,1274472.3,4.098292364,67542.4,1705552.0,4.098292364
01023,AL,Choctaw County,Butler,32.091526,-88.220684,31.990954,-88.248889,seat,59984.4,1440860.9,44.05296462,68372.4,1691056.1,44.05296462
01025,AL,Clarke County,Grove Hill,31.706137,-87.774274,31.685521,-87.818624,seat,61743.2,1471541.3,28.77046907,71700.8,1730411.1,28.77046907
01027,AL,Clay County,Ashland,33.272206,-85.836925,33.2704,-85.863525,seat,51356.7,1196648.3,51.41832807,69923.0,1748725.1,51.41832807
01029,AL,Cleburne County,Heflin,33.643754,-85.582701,33.671964,-85.516126,seat,48793.1,1148679.9,34.49526045,69129.0,1744975.4,34.49526045
01031,AL,Coffee County,Elba,31.417263,-86.077442,31.402258,-85.989602,seat,59974.5,1389976.3,83.08653391,76628.3,1892540.8,83.08653391
01033,AL,Colbert County,Tuscumbia,34.730839,-87.702854,34.703112,-87.801457,seat,51950.2,1234194.3,22.14401605,59172.8,1480623.4,22.14401605
01035,AL,Conecuh County,Evergreen,31.435025,-86.954905,31.430926,-86.988722,seat,59406.6,1408685.6,36.09019633,74890.9,1888435.3,36.09019633
01037,AL,Coosa County,Rockford,32.888181,-86.219575,32.931445,-86.243482,seat,52381.0,1243123.8,44.25295763,69141.3,1729949.8,44.25295763
01039,AL,Covington County,Andalusia,31.309,-86.479,31.243987,-86.448721,seat,60629.0,1430270.9,20.57327132,76113.3,1910020.5,20.57327132
01041,AL,Crenshaw County,Luverne,31.7144,-86.2633,31.730311,-86.320038,seat,58657.6,1361363.4,0.7581926741,74386.0,1846078.8,0.7581926741
01043,AL,Cullman County,Cullman,34.1775,-86.8447,34.131923,-86.869267,seat,49699.1,1162966.3,37.47406711,63809.4,1583983.4,37.47406711
01045,AL,Dale County,Ozark,31.448169,-85.642009,31.430654,-85.609476,seat,59091.5,1361770.8,60.25647693,76328.3,1898168.8,60.25647693
01047,AL,Dallas County,Selma,32.416388888889,-87.024722222222,32.333526,-87.11436,seat,56411.8,1330464.8,6.967467856,70601.0,1733452.5,6.967467856
01049,AL,DeKalb County,Fort Payne,34.453829,-85.706648,34.460915,-85.804021,seat,43442.8,1045443.4,53.70471205,65829.8,1571654.3,53.70471205
01051,AL,Elmore County,Wetumpka,32.540972,-86.207726,32.597229,-86.142735,seat,54285.6,1286733.4,49.68178038,70422.0,1771392.3,49.68178038
01053,AL,Escambia County,Brewton,31.117706,-87.071164,31.122287,-87.16841,seat,61553.0,1449079.4,24.53650555,77037.3,1928829.0,24.53650555
01055,AL,Etowah County,Gadsden,34.010147,-86.010356,34.047641,-86.034263,seat,46018.5,1105938.0,22.85924858,68200.8,1721712.0,22.85924858
01057,AL,Fayette County,Fayette,33.692068,-87.832358,33.716157,-87.764292,seat,55396.6,1322659.3,54.64418158,61310.3,1538564.6,54.64418158
01059,AL,Franklin County,Russellville,34.510344,-87.728248,34.441989,-87.842814,seat,52220.3,1239918.9,37.81841148,60257.4,1519715.3,37.81841148
01061,AL,Geneva County,Geneva,31.0411132,-85.8764248,31.092382,-85.821022,seat,61523.2,1417894.8,73.9622994,78737.1,1939144.8,73.9622994
01063,AL,Greene County,Eutaw,32.840555555556,-87.889166666667,32.844497,-87.9642,seat,55294.3,1338507.5,39.59178118,65839.9,1615190.6,39.59178118
01065,AL,Hale County,Greensboro,32.70234,-87.596216,32.752796,-87.623061,seat,55967.2,1341332.9,30.84611843,67649.6,1672313.8,30.84611843
01067,AL,Henry County,Abbeville,31.566388888889,-85.251388888889,31.516978,-85.239971,seat,56699.6,1318081.5,51.68291932,78096.5,1921658.9,51.68291932
