iata,name,city,lat,lon,routes
ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,33.6367,-84.428101,1826.0
ORD,Chicago O'Hare International Airport,Chicago,41.9786,-87.9048,1108.0
LAX,Los Angeles International Airport,Los Angeles,33.94250107,-118.4079971,990.0
DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,32.896801,-97.038002,936.0
JFK,John F Kennedy International Airport,New York,40.63980103,-73.77890015,911.0
DEN,Denver International Airport,Denver,39.861698150635,-104.672996521,735.0
MIA,Miami International Airport,Miami,25.79319953918457,-80.29060363769531,734.0
CLT,Charlotte Douglas International Airport,Charlotte,35.2140007019043,-80.94309997558594,600.0
PHL,Philadelphia International Airport,Philadelphia,39.87189865112305,-75.24109649658203,576.0
PHX,Phoenix Sky Harbor International Airport,Phoenix,33.43429946899414,-112.01200103759766,508.0
EWR,Newark Liberty International Airport,Newark,40.692501068115234,-74.168701171875,505.0
SFO,San Francisco International Airport,San Francisco,37.61899948120117,-122.375,499.0
LAS,McCarran International Airport,Las Vegas,36.08010101,-115.1520004,498.0
IAH,George Bush Intercontinental Houston Airport,Houston,29.984399795532227,-95.34140014648438,485.0
MCO,Orlando International Airport,Orlando,28.429399490356445,-81.30899810791016,475.0
DTW,Detroit Metropolitan Wayne County Airport,Detroit,42.212398529052734,-83.35340118408203,433.0
MSP,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,44.882,-93.221802,430.0
BOS,General Edward Lawrence Logan International Airport,Boston,42.36429977,-71.00520325,424.0
SEA,Seattle Tacoma International Airport,Seattle,47.449001,-122.308998,403.0
DCA,Ronald Reagan Washington National Airport,Washington,38.8521,-77.037697,388.0
IAD,Washington Dulles International Airport,Washington,38.94449997,-77.45580292,386.0
FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,26.072599,-80.152702,374.0
LGA,La Guardia Airport,New York,40.77719879,-73.87259674,316.0
BWI,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,39.1754,-76.668297,286.0
SLC,Salt Lake City International Airport,Salt Lake City,40.78839874267578,-111.97799682617188,278.0
TPA,Tampa International Airport,Tampa,27.975500106811523,-82.533203125,276.0
MDW,Chicago Midway International Airport,Chicago,41.785999,-87.752403,271.0
MSY,Louis Armstrong New Orleans International Airport,New Orleans,29.99340057373047,-90.25800323486328,248.0
SAN,San Diego International Airport,San Diego,32.7336006165,-117.190002441,238.0
PDX,Portland International Airport,Portland,45.58869934,-122.5979996,230.0
STL,St Louis Lambert International Airport,St. Louis,38.748697,-90.370003,221.0
RDU,Raleigh Durham International Airport,Raleigh-durham,35.87760162353516,-78.7874984741211,167.0
AUS,Austin Bergstrom International Airport,Austin,30.194499969482425,-97.6698989868164,167.0
BNA,Nashville International Airport,Nashville,36.1245002746582,-86.6781997680664,164.0
CLE,Cleveland Hopkins International Airport,Cleveland,41.4117012024,-81.8498001099,161.0
MCI,Kansas City International Airport,Kansas City,39.2976,-94.713898,159.0
CVG,Cincinnati Northern Kentucky International Airport,Cincinnati,39.0488014221,-84.6678009033,150.0
HOU,William P Hobby Airport,Houston,29.64539909,-95.27890015,149.0
PIT,Pittsburgh International Airport,Pittsburgh,40.49150085,-80.23290253,148.0
IND,Indianapolis International Airport,Indianapolis,39.7173,-86.294403,138.0
