fips,state,seat,county,lat,lon,label
04013,AZ,Phoenix,Maricopa County,33.448333333333,-112.07388888889,"Phoenix, AZ"
04019,AZ,Tucson,Pima County,32.221666666667,-110.92638888889,"Tucson, AZ"
05027,AR,Magnolia,Columbia County,33.27389,-93.23333,"Magnolia, AR"
05119,AR,Little Rock,Pulaski County,34.744444444444,-92.288055555556,"Little Rock, AR"
06037,CA,Los Angeles,Los Angeles County,34.05223,-118.24368,"Los Angeles, CA"
06073,CA,San Diego,San Diego County,32.715,-117.1625,"San Diego, CA"
06085,CA,San Jose,Santa Clara County,37.304166666667,-121.87277777778,"San Jose, CA"
08031,CO,Denver,Denver County,39.739166666667,-104.98472222222,"Denver, CO"
11001,DC,(internal point),District of Columbia,38.904247,-77.016517,Washington D.C. — the Capitol
12031,FL,Jacksonville,Duval County,30.316666666667,-81.65,"Jacksonville, FL"
12086,FL,Miami,Miami-Dade County,25.783333333333,-80.216666666667,"Miami, FL"
13107,GA,Swainsboro,Emanuel County,32.593611111111,-82.332222222222,"Swainsboro, GA"
13121,GA,Atlanta,Fulton County,33.756944444444,-84.390277777778,"Atlanta, GA"
16001,ID,Boise,Ada County,43.613611111111,-116.23777777778,"Boise, ID"
17031,IL,Chicago,Cook County,41.881944444444,-87.627777777778,"Chicago, IL"
18097,IN,Indianapolis,Marion County,39.768611111111,-86.158055555556,"Indianapolis, IN"
20055,KS,Garden City,Finney County,37.9753,-100.864,"Garden City, KS"
20157,KS,Belleville,Republic County,39.8236,-97.6303,"Lebanon, Kansas — the centre"
20173,KS,Wichita,Sedgwick County,37.688888888889,-97.336111111111,"Wichita, KS"
21111,KY,Louisville,Jefferson County,38.256111111111,-85.751388888889,"Louisville, KY"
22071,LA,New Orleans,Orleans Parish,29.976111111111,-90.078333333333,"New Orleans, LA"
23019,ME,Bangor,Penobscot County,44.803055555556,-68.7675,"Bangor, ME"
25025,MA,Boston,Suffolk County,42.360277777778,-71.057777777778,"Boston, MA"
26113,MI,Lake City,Missaukee County,44.335277777778,-85.215,"Lake City, MI"
26163,MI,Detroit,Wayne County,42.331666666667,-83.0475,"Detroit, MI"
27053,MN,Minneapolis,Hennepin County,44.981944444444,-93.269166666667,"Minneapolis, MN"
28153,MS,Waynesboro,Wayne County,31.673888888889,-88.643611111111,"Waynesboro, MS"
29095,MO,Kansas City,Jackson County,39.05,-94.583333333333,"Kansas City, MO"
29097,MO,Carthage,Jasper County,37.167777777778,-94.315,"Carthage, MO"
29133,MO,Charleston,Mississippi County,36.921388888889,-89.346388888889,"Charleston, MO"
29510,MO,(internal point),St. Louis city,38.635699,-90.244582,"St. Louis, MO"
30059,MT,White Sulphur Springs,Meagher County,46.546388888889,-110.9025,"White Sulphur Springs, MT"
30109,MT,Wibaux,Wibaux County,46.986944444444,-104.18972222222,"Wibaux, MT"
30111,MT,Billings,Yellowstone County,45.786666666667,-108.53722222222,"Billings, MT"
31055,NE,Omaha,Douglas County,41.258611111111,-95.9375,"Omaha, NE"
32003,NV,Las Vegas,Clark County,36.167222222222,-115.14861111111,"Las Vegas, NV"
32031,NV,Reno,Washoe County,39.526111111111,-119.8125,"Reno, NV"
35001,NM,Albuquerque,Bernalillo County,35.084444444444,-106.65027777778,"Albuquerque, NM"
36061,NY,(internal point),New York County,40.776642,-73.970187,"New York, NY"
37119,NC,Charlotte,Mecklenburg County,35.226944444444,-80.843333333333,"Charlotte, NC"
38015,ND,Bismarck,Burleigh County,46.808333333333,-100.78375,"Bismarck, ND"
38017,ND,Fargo,Cass County,46.877222222222,-96.789444444444,"Fargo, ND"
39049,OH,Columbus,Franklin County,39.962222222222,-83.000555555556,"Columbus, OH"
40109,OK,Oklahoma City,Oklahoma County,35.482222222222,-97.535277777778,"Oklahoma City, OK"
41051,OR,Portland,Multnomah County,45.515,-122.67916666667,"Portland, OR"
42101,PA,Philadelphia,Philadelphia County,39.952777777778,-75.163611111111,"Philadelphia, PA"
46103,SD,Rapid City,Pennington County,44.081055555556,-103.22866666667,"Rapid City, SD"
47037,TN,Nashville,Davidson County,36.162222222222,-86.774444444444,"Nashville, TN"
47157,TN,Memphis,Shelby County,35.146111111111,-90.051944444444,"Memphis, TN"
48029,TX,San Antonio,Bexar County,29.425,-98.493888888889,"San Antonio, TX"
48113,TX,Dallas,Dallas County,32.779166666667,-96.808888888889,"Dallas, TX"
48141,TX,El Paso,El Paso County,31.759166666667,-106.48861111111,"El Paso, TX"
48201,TX,Houston,Harris County,29.762777777778,-95.383055555556,"Houston, TX"
48453,TX,Austin,Travis County,30.3,-97.733333333333,"Austin, TX"
48495,TX,Kermit,Winkler County,31.8558,-103.094,"Kermit, TX"
49035,UT,Salt Lake City,Salt Lake County,40.75,-111.88333333333,"Salt Lake City, UT"
49055,UT,Loa,Wayne County,38.402777777778,-111.64388888889,"Loa, UT"
51197,VA,Wytheville,Wythe County,36.9478,-81.0869,"Wytheville, VA"
51595,VA,(internal point),Emporia city,36.696182,-77.535975,"Emporia city, VA"
53033,WA,Seattle,King County,47.605,-122.33,"Seattle, WA"
53063,WA,Spokane,Spokane County,47.657194444444,-117.4235,"Spokane, WA"
55001,WI,Friendship,Adams County,43.9717,-89.8186,"Friendship, WI"
55079,WI,Milwaukee,Milwaukee County,43.05,-87.95,"Milwaukee, WI"
56021,WY,Cheyenne,Laramie County,41.145555555556,-104.80194444444,"Cheyenne, WY"
